YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA
